title,uri,type,representative_latitude,representative_longitude,location_precision
Galliae,https://pleiades.stoa.org/places/992075,province,47.5,-2.5,rough
Asiana (diocese),https://pleiades.stoa.org/places/992079,province,37.5,27.5,rough
Oriens,https://pleiades.stoa.org/places/992080,province,27.5,27.5,rough
Hispaniae,https://pleiades.stoa.org/places/992072,province,37.5,-7.5,rough
Italia (Diocese),https://pleiades.stoa.org/places/992073,diocese-roman,,,rough
Alekseev,https://pleiades.stoa.org/places/992018313,settlement,52.4979,62.1302,precise
Tall al-Disim,https://pleiades.stoa.org/places/992018312,findspot,32.1415,45.3929,precise
Maḥmūd Ābād,https://pleiades.stoa.org/places/992018314,archaeological-site,37.3669,45.1294,precise
Arteda Civitate,https://pleiades.stoa.org/places/992779753,church-2,42.598873,-0.994237,precise
Phaleron cemetery (Attica),https://pleiades.stoa.org/places/992770797,cemetery,37.93987062145430,23.69402266702620,precise
Pelargikon wall,https://pleiades.stoa.org/places/992770796,defensive-wall,,,rough
Gioiosa Guardia,https://pleiades.stoa.org/places/992102397,settlement,38.1497292,14.9308155,precise
City wall of Ameria,https://pleiades.stoa.org/places/992150860,city-wall,42.55389670401770,12.417445459791200,precise
Alpes Cottiae (late Roman province),https://pleiades.stoa.org/places/992830,province-2,42.5,7.5,rough
Narbonensis II,https://pleiades.stoa.org/places/992827,province,42.5,7.5,rough
Alpes Graiae et Poeninae (late Roman province),https://pleiades.stoa.org/places/992828,province-2,47.5,7.5,rough
Alpes Maritimae (late Roman province),https://pleiades.stoa.org/places/992829,province-2,42.5,7.5,rough
Aşağı Anzaf Fortress,https://pleiades.stoa.org/places/992492638,fort-2,,,rough
Scoppieto,https://pleiades.stoa.org/places/992586572,settlement,42.724720408251800,12.295465481066400,precise
Simi,https://pleiades.stoa.org/places/995604668,sanctuary,35.0559606,25.4998661,precise
Tell Qarqur,https://pleiades.stoa.org/places/995604669,settlement,35.7412092,36.3315456,precise
Kástron Khóstion,https://pleiades.stoa.org/places/995667313,sanctuary,38.254150500000000,22.88301,precise
Xocalı,https://pleiades.stoa.org/places/995667312,archaeological-site,39.906,46.8015,precise
"Tholos at the Sanctuary of Asklepios, Epidauros",https://pleiades.stoa.org/places/995644788,sanctuary,37.59841317509730,23.074049189295700,precise
Benalúa,https://pleiades.stoa.org/places/90993556,port,38.3413656,-0.4961869,precise
"Mycenaean necropolis, Elateia",https://pleiades.stoa.org/places/909179853,cemetery,38.64748856073160,22.77217197277600,precise
Guldara Stupa,https://pleiades.stoa.org/places/909832408,abbey,34.39271698407000,69.27855053383150,precise
Monterozzi necropolis,https://pleiades.stoa.org/places/909329995,cemetery,42.249713563741400,11.770144990194400,precise
Roman amphitheater at Florentia,https://pleiades.stoa.org/places/909329997,amphitheatre,43.76911328770410,11.259966845890100,precise
Cape Nara,https://pleiades.stoa.org/places/90956722,cape,40.1963301,26.4012274,precise
Cattedrale di Santa Maria di Amiternum,https://pleiades.stoa.org/places/900977729,church-2,42.399285850000000,13.30789875,precise
Enun,https://pleiades.stoa.org/places/900050539,unlocated,,,rough
Tomb of the Stronnii,https://pleiades.stoa.org/places/90074311,tomb,40.74881827613130,14.492903864113200,precise
"Tomb of Lucius Publicius Syneros, Aebia Fausta, Lucius Aebius Aristo and Aebia Hilara",https://pleiades.stoa.org/places/90074312,tomb,40.74945192523400,14.494390039315000,precise
Samḥa (island),https://pleiades.stoa.org/places/900159789,island,12.1736622,53.0569838,precise
Darsa (island),https://pleiades.stoa.org/places/900159787,island,12.1210906,53.2913432,precise
Quattro tempietti,https://pleiades.stoa.org/places/900824128,sanctuary,41.755666508704300,12.290578100244200,precise
Roman arch at Spoletium,https://pleiades.stoa.org/places/900336440,arch,42.7334005,12.7370897,precise
Masion,https://pleiades.stoa.org/places/90032638,settlement,37.5,41.5,rough
Phrygia (kingdom),https://pleiades.stoa.org/places/907036116,state,,,rough
Leucogaei fontes,https://pleiades.stoa.org/places/907843430,spring,,,rough
Nuraghe Nuracale,https://pleiades.stoa.org/places/907447931,nuraghe,40.233565969453400,8.58549326387117,precise
Villa rustica of Szentendre-Skanzen,https://pleiades.stoa.org/places/907371652,villa,47.69388827075630,19.048442109221500,precise
Nuraghe Corbos,https://pleiades.stoa.org/places/907368076,nuraghe,40.256653,8.943347,precise
Eshnunna,https://pleiades.stoa.org/places/90720956,settlement,33.484479923742200,44.72813971440170,precise
Baths of Antoninus at Carthage,https://pleiades.stoa.org/places/907258688,bath,36.8546945,10.3313849,precise
Roman theater at Utica,https://pleiades.stoa.org/places/907258690,theatre,37.0529021,10.0569326,precise
Road network south of Hadrian's Wall,https://pleiades.stoa.org/places/90602,road,56.5,-3.0,rough
Road network north of Hadrian's Wall,https://pleiades.stoa.org/places/90603,road,56.5,-3.0,rough
Onoadas,https://pleiades.stoa.org/places/906020,unlocated,,,rough
Madaktu,https://pleiades.stoa.org/places/906016,unlocated,,,rough
Media Ano,https://pleiades.stoa.org/places/906017,unlocated,,,rough
Orubicaria,https://pleiades.stoa.org/places/906021,settlement,,,rough
Gadamarga/Gadamarta,https://pleiades.stoa.org/places/906010,unlocated,,,rough
Bazigraban,https://pleiades.stoa.org/places/906006,unlocated,,,rough
Sabbatha/Sabatha/Sabdata,https://pleiades.stoa.org/places/906027,unlocated,,,rough
Badake,https://pleiades.stoa.org/places/906004,unlocated,,,rough
Herakleia,https://pleiades.stoa.org/places/906012,unlocated,,,rough
Sigriane,https://pleiades.stoa.org/places/906028,unlocated,,,rough
Darassa/Darasa/Darathe,https://pleiades.stoa.org/places/906008,unlocated,,,rough
Rapsa,https://pleiades.stoa.org/places/906025,unlocated,,,rough
Mihragan-Kadag,https://pleiades.stoa.org/places/906018,unlocated,,,rough
Adrapanan/Adrapana/Arteman,https://pleiades.stoa.org/places/906002,unlocated,,,rough
Kissia/Kissie Chore Bet Kussaye/Bakusaya,https://pleiades.stoa.org/places/906014,unlocated,,,rough
Pharaspa,https://pleiades.stoa.org/places/906023,unlocated,,,rough
Shalmaneser Gate,https://pleiades.stoa.org/places/906423926,city-gate,36.0975,43.330705,precise
Santa Cecilia in Trastevere,https://pleiades.stoa.org/places/906299919,church-2,41.887566789361000,12.475843443155700,precise
Roman aqueduct bridge,https://pleiades.stoa.org/places/901991632,aqueduct,37.412089000000000,22.683134000000000,precise
Ain Diwar,https://pleiades.stoa.org/places/90199885,bridge,37.314535,42.2158069,precise
New Nisa,https://pleiades.stoa.org/places/901138068,settlement,37.966759063549500,58.198615634938500,precise
Dūru-ša-Ladīni,https://pleiades.stoa.org/places/901248820,unlocated,,,rough
Bīt-Karziabku,https://pleiades.stoa.org/places/901248821,unlocated,,,rough
Ojasar-Ilandağ,https://pleiades.stoa.org/places/901571869,monument,39.137,45.6251,precise
Namrīk,https://pleiades.stoa.org/places/901571868,archaeological-site,36.7242,42.8822,precise
Tophet de Salammbô,https://pleiades.stoa.org/places/908696791,cemetery,36.8409911,10.3230409,precise
Santuario nuragico di Santa Vittoria,https://pleiades.stoa.org/places/90865616,nuraghe,39.7124195,9.103479,precise
Roman amphitheater at Thibiuca,https://pleiades.stoa.org/places/908291906,amphitheatre,36.5277826,9.8892003,precise
Bliznet͡sy,https://pleiades.stoa.org/places/908270988,tumulus,48.389238500000000,35.056214,precise
Pantano di Grano necropolis,https://pleiades.stoa.org/places/904754819,cemetery,42.021338,12.390519,rough
Gazandži (Kazana),https://pleiades.stoa.org/places/904615255,findspot,40.006565700000000,44.026076,precise
Pagus Augustus Felix Suburbanus,https://pleiades.stoa.org/places/904891411,estate,,,rough
Untitled,https://pleiades.stoa.org/places/904493,canal,32.5,48.5,rough
Sa Carcaredda,https://pleiades.stoa.org/places/904434820,nuraghe,39.9933086,9.4258623,precise
Terme di Caronte,https://pleiades.stoa.org/places/904435019,bath,38.9740422,16.2598678,precise
Necropolis of Sant'Andrea Priu,https://pleiades.stoa.org/places/90397392,cemetery,40.4214926,8.8473733,precise
Muel dam,https://pleiades.stoa.org/places/903961839,dam,41.4656027,-1.0819978,precise
Dukkan-i Daud,https://pleiades.stoa.org/places/903019,cemetery,34.440174,45.897579,precise
Khurheh,https://pleiades.stoa.org/places/903062,settlement,34.070325,50.491639,precise
Godin tepe,https://pleiades.stoa.org/places/903035,settlement,34.51838656668150,48.06856590861160,precise
Dezful/[Qantara al-Rum],https://pleiades.stoa.org/places/903015,settlement,32.382993,48.398189,precise
[Kangavar]/Concobar,https://pleiades.stoa.org/places/903054,settlement,34.502892,47.955711,precise
Pusht-i Arisht,https://pleiades.stoa.org/places/903097,temple,33.291443,46.952321,precise
Media/Mad(aya) (region),https://pleiades.stoa.org/places/903080,region,35.048241435750600,48.91933124433480,precise
Paraetacene (region),https://pleiades.stoa.org/places/903096,region,33.176829137241900,50.12615800870130,precise
Masabadan/Massabatene,https://pleiades.stoa.org/places/903079,province,33.58069090664260,47.023177498388100,precise
Karina,https://pleiades.stoa.org/places/903055,label,34.04830724558520,46.64814586128740,precise
Bisutun/Bagistana/Vastan?/Baptana,https://pleiades.stoa.org/places/903002,settlement,34.3881,47.4318,precise
[Hulwan]/Valashfarr/Beth Lashpar/Chala/Albania,https://pleiades.stoa.org/places/903043,settlement,34.465114,45.85589,precise
Gilan Gharbi,https://pleiades.stoa.org/places/903034,temple,34.139759,45.917704,precise
Khurmal/Syarazur?/Siasouron?,https://pleiades.stoa.org/places/903063,settlement,35.299481,46.03589,precise
Deru/Beth Daraya/[Badra],https://pleiades.stoa.org/places/903013,settlement,33.11927753333330,45.937332966666700,precise
Chal Tarkhan-Eshqabad,https://pleiades.stoa.org/places/903005,settlement,35.438913,51.466501,precise
Navish,https://pleiades.stoa.org/places/903087,temple,34.673036,50.261057,precise
KS391,https://pleiades.stoa.org/places/903068,settlement,32.347129,48.226407,precise
Lang-i Rud,https://pleiades.stoa.org/places/903072,temple,34.52229,51.000769,precise
Khurramabad/Shapur Khwast?,https://pleiades.stoa.org/places/903064,settlement,33.466739,48.349909,precise
Ganj Nameh,https://pleiades.stoa.org/places/903032,archaeological-site,34.7622,48.4373,precise
Khurramdasht,https://pleiades.stoa.org/places/903065,temple,33.867479,51.592609,precise
Jameh Shuran,https://pleiades.stoa.org/places/903049,unknown,34.5,46.5,rough
Natanz,https://pleiades.stoa.org/places/903086,temple,33.506944,51.913611,precise
Nizamabad,https://pleiades.stoa.org/places/903090,settlement,35.416165,51.407354,precise
Kambadene/Kampa(n)da,https://pleiades.stoa.org/places/903053,label,34.30722172141890,47.3236235995763,precise
Caspiae Portae?,https://pleiades.stoa.org/places/903004,pass,35.277397,52.176037,precise
Denabaran/Dinawar,https://pleiades.stoa.org/places/903012,settlement,34.584336,47.439729,precise
Iasonius (mountain),https://pleiades.stoa.org/places/903045,mountain,35.954337,52.1102898,precise
Naisar,https://pleiades.stoa.org/places/903085,temple,33.967929,51.099442,precise
Changiyeh,https://pleiades.stoa.org/places/903007,temple,33.5586,46.499199,precise
Deh-i No/Sakavand,https://pleiades.stoa.org/places/903011,cemetery,34.234855,47.446675,precise
Kushk Khainfar,https://pleiades.stoa.org/places/903070,temple,33.189073,46.515468,precise
KS126,https://pleiades.stoa.org/places/903067,settlement,32.371016,48.192284,precise
Nemavand/Laodicea/Niphaunda,https://pleiades.stoa.org/places/903088,settlement,34.1889,48.3769,precise
Ivan-i Karkheh/Eran-Khurra-(kard-) Shapur?/Karkha de Ladan,https://pleiades.stoa.org/places/903047,settlement,32.314998,48.149253,precise
Deh Bozan,https://pleiades.stoa.org/places/903010,settlement,34.709168,48.130107,precise
Gurbayigan/[Jurbadhakan],https://pleiades.stoa.org/places/903037,settlement,33.452651,50.286873,precise
Maimeh,https://pleiades.stoa.org/places/903076,temple,33.175424,46.945497,precise
Qaleh Gabri,https://pleiades.stoa.org/places/903099,settlement,35.583645,51.450468,precise
