UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMANDERS,NUMBER OF SHIPS,NUMBER OF SOLDIERS
a6f8629d-7144-4ed9-81d6-723ccf360dd0,Catalogue of ships - Il. 2.txt,Zeus,char-offset:8985,PERSON,,,,,,,,,,,
a7b073d1-2667-429d-a292-bcb915222be9,Catalogue of ships - Il. 2.txt,Nireus,char-offset:9089,PERSON,,,,,,,,,,,
962117fa-d36a-403e-baf4-c28ea8d5c7c1,Catalogue of ships - Il. 2.txt,three ships,char-offset:9104,EVENT,,,,,,,,,,,
5262556b-5517-47da-b593-f71dd02b54b0,Catalogue of ships - Il. 2.txt,Syme,char-offset:9121,PLACE,http://pleiades.stoa.org/places/599950,"Syme|Syme, on Syme GRE",-0750/0300,36.61839,27.843425,settlement,VERIFIED,Syme,Nireus,3,
aa019c05-5735-4c41-9dea-cbe1699ed6af,Catalogue of ships - Il. 2.txt,Nireus,char-offset:9128,PERSON,,,,,,,,,,,
d0b533e4-7543-416b-b6da-74d908953bbd,Catalogue of ships - Il. 2.txt,Ilion,char-offset:9182,PLACE,http://pleiades.stoa.org/places/494571,Ilion,,,,unlocated,UNVERIFIED,,,,
192457e5-57c3-4635-ac3f-bdef1091fe20,Catalogue of ships - Il. 2.txt,Nisyrus,char-offset:9319,PLACE,http://pleiades.stoa.org/places/599830,"Nisyros (island)|Nisyros Ins., Nisyros",,36.58892,27.15597,island,VERIFIED,,"Pheidippos, Antiphos",30,
3572440b-ec34-4aa8-8b59-d046ccba250d,Catalogue of ships - Il. 2.txt,Carpathus,char-offset:9328,PLACE,http://pleiades.stoa.org/places/589841,"Karpathos (island)|Karpathos Ins., Karpathos",-0030/0300,35.583333,27.133333,island,VERIFIED,,"Pheidippos, Antiphos",,
383e67c8-2a55-4e74-b9e7-d5e40cdfd99a,Catalogue of ships - Il. 2.txt,Casus,char-offset:9343,PLACE,http://pleiades.stoa.org/places/863823,Kasios (river),-0330/0300,41.5,48.5,river,VERIFIED,,"Pheidippos, Antiphos",,
12193485-8c01-4fdb-8ccd-c0ead807b901,Catalogue of ships - Il. 2.txt,Cos,char-offset:9355,PLACE,http://pleiades.stoa.org/places/599581,"Kos/Cos (island)|Kos/Cos, Kos",,36.844,27.17,island,VERIFIED,,"Pheidippos, Antiphos",,
0c63ad01-72d4-456e-a792-8827ecda54fa,Catalogue of ships - Il. 2.txt,Calydnian islands,char-offset:9391,PLACE,,,,,,,NOT_IDENTIFIABLE,,"Pheidippos, Antiphos",,
bc6ef99a-d9f2-4f83-b5b0-ca6e195578f9,Catalogue of ships - Il. 2.txt,Pheidippos,char-offset:9434,PERSON,,,,,,,,,,,
c1ca79e4-19fb-4acb-b612-14b84c3ae23e,Catalogue of ships - Il. 2.txt,Antiphos,char-offset:9449,PERSON,,,,,,,,,,,
9b02d9d4-dae1-42f7-9dde-b221b85081e5,Catalogue of ships - Il. 2.txt,Thessalos,char-offset:9476,PERSON,,,,,,,,,,,
b203493f-07d2-4ce4-b94f-23cd66ca3c51,Catalogue of ships - Il. 2.txt,Herakles,char-offset:9497,PERSON,,,,,,,,,,,
1885b4ef-16cf-41cc-aa6c-1c3f7541b338,Catalogue of ships - Il. 2.txt,thirty ships,char-offset:9533,EVENT,,,,,,,,,,,
3d9004e2-b964-427a-9828-fb633eadf078,Catalogue of ships - Il. 2.txt,Argos,char-offset:9578,PLACE,http://pleiades.stoa.org/places/570106,"Argos|Argos, Argos",-0750/0300,37.631561,22.719464,settlement,VERIFIED,Myrmidons,Achilles,50,
e386ac0f-e2f2-47da-bfe8-892f5a542302,Catalogue of ships - Il. 2.txt,Alos,char-offset:9585,PLACE,http://pleiades.stoa.org/places/573077,Alos,,,,settlement,VERIFIED,Myrmidons,Achilles,,
e4b99e4a-16da-47f6-8ff5-9887f62e1b13,Catalogue of ships - Il. 2.txt,Alope,char-offset:9591,PLACE,http://pleiades.stoa.org/places/540621,"Alope|Alope, Melidoni/Ag. Aikaterini",-0750/-0030,38.88481,22.79812,settlement,VERIFIED,Myrmidons,Achilles,,
2e5205c4-cc2c-4e95-b94b-4205bc3f77ec,Catalogue of ships - Il. 2.txt,Trachis,char-offset:9602,PLACE,http://pleiades.stoa.org/places/541157,"Trachis/Herakleia|Herakleia, Untitled",-0750/0640,38.790767,22.442503,settlement,VERIFIED,Myrmidons,Achilles,,
4cf18333-e4b5-48af-a84e-ca95be9ead48,Catalogue of ships - Il. 2.txt,Phthia,char-offset:9624,PLACE,http://pleiades.stoa.org/places/541052,Phthiotis,,38.8678937,22.6337672,unknown,VERIFIED,Myrmidons,Achilles,,
f796bba2-ff6f-4845-8ce2-d820b0dd7fbc,Catalogue of ships - Il. 2.txt,Hellas,char-offset:9635,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Myrmidons,Achilles,,
09ccbb00-9fd0-47d3-a6bc-577565a6acec,Catalogue of ships - Il. 2.txt,Myrmidons,char-offset:9682,PLACE,,,,,,,UNVERIFIED,Myrmidons,Achilles,,
cfa6de26-9d02-487b-9b7e-2bf503bc86cd,Catalogue of ships - Il. 2.txt,Hellenes,char-offset:9693,PLACE,http://pleiades.stoa.org/places/756518,"Antinoopolis|Antinoopolis/Antinoe/Hadrianopolis/Neoi Hellenes, Esch-Scheich 'Abada",-0030/0640,27.808099,30.879299,settlement,UNVERIFIED,Myrmidons,Achilles,,
f24272f6-f9a1-45e5-b008-5728bd859709,Catalogue of ships - Il. 2.txt,Achaeans,char-offset:9707,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
92e9bb4a-904e-4521-aee2-e8b109aafa50,Catalogue of ships - Il. 2.txt,fifty ships,char-offset:9728,EVENT,,,,,,,,,,,
ac867ea3-5187-4503-89f7-2fc4414624d5,Catalogue of ships - Il. 2.txt,Achilles,char-offset:9752,PERSON,,,,,,,,,,,
e2bf4765-faae-4153-a7f7-c0ecb47df7d8,Catalogue of ships - Il. 2.txt,Achilles,char-offset:9865,PERSON,,,,,,,,,,,
20bf970d-960a-46bf-b579-d430a58bb460,Catalogue of ships - Il. 2.txt,Briseis,char-offset:9930,PERSON,,,,,,,,,,,
9dce3fe1-3eb3-4bcc-bc02-8674f4c34624,Catalogue of ships - Il. 2.txt,Lyrnessos,char-offset:9962,PLACE,http://pleiades.stoa.org/places/652355,Lyrnessos,0300/0640,,,unlocated,UNVERIFIED,,,,
60fa63b4-b9ec-4589-8ed3-8a63b7310506,Catalogue of ships - Il. 2.txt,Lyrnessos,char-offset:10016,PLACE,http://pleiades.stoa.org/places/652355,Lyrnessos,0300/0640,,,unlocated,UNVERIFIED,,,,
034d7ad4-26db-4782-8359-c8043b952b29,Catalogue of ships - Il. 2.txt,Thebe,char-offset:10030,PLACE,http://pleiades.stoa.org/places/550919,"Thebe|Thebe, 1 mile NNE Edremit",-0750/0300,39.597431,27.020171,settlement,UNVERIFIED,,,,
4b471553-978a-41fb-b386-a6e41e38c12a,Catalogue of ships - Il. 2.txt,Epistrophos,char-offset:10066,PERSON,,,,,,,,,,,
1f50b109-2bcb-4074-bf55-cc1c0a0827f4,Catalogue of ships - Il. 2.txt,Achilles,char-offset:10129,PERSON,,,,,,,,,,,
