sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-full,distance_modern,revised_distance,comment,place_uri,latitude,longitude,placetype,placetype_pleiades
395,,57.2,1. PROVINCIAE AFRICAE,Carthago-Clipea,sum-route,Item a Cartagine Clipeis m. p. LXXXV:,,,Clipeis,Clipea,Aspis/Clipea,m. p.,LXXXV, m. p. LXXXV,,,,https://pleiades.stoa.org/places/314892,36.838512,11.115794,,
401,,57.7,1. PROVINCIAE AFRICAE,Carthago-Thenae,sum-route,Item a Cartagine Thenis m. p. CCXVII,,,Cartagine,Carthago,Carthago,,,,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
402,,57.7,1. PROVINCIAE AFRICAE,Carthago-Thenae,sum-route,Item a Cartagine Thenis m. p. CCXVII,,,Thenis,Thenae,Thaenae,m. p.,CCXVII, m. p. CCXVII,,,,https://pleiades.stoa.org/places/324825,34.6553465,10.670659,,
403,,57.8,1. PROVINCIAE AFRICAE,Thenae-Leptis Magna,sum-route,,,,,Thenae,Thaenae,,,,,,,https://pleiades.stoa.org/places/324825,34.6553465,10.670659,,
404,,57.8,1. PROVINCIAE AFRICAE,Thenae-Leptis Magna,sum-route,inde Lepti Magna m. p. CCCCXXII,,,Lepti Magna,Leptis Magna,Neapolis/Lepcis Magna,m. p.,CCCCXXII, m. p. CCCCXXII,,,,https://pleiades.stoa.org/places/344448,32.6379575,14.291378,,
405,,57.9,1. PROVINCIAE AFRICAE,Leptis Magna-Alexandria,sum-route,,,,,Leptis Magna,Neapolis/Lepcis Magna,,,,,,,https://pleiades.stoa.org/places/344448,32.6379575,14.291378,,
406,,57.9,1. PROVINCIAE AFRICAE,Leptis Magna-Alexandria,sum-route,in Alexandria m. p. DCCCCII:,,,Alexandria,Alexandria,Alexandria,m. p.,DCCCCII, m. p. DCCCCII,,,,https://pleiades.stoa.org/places/727070,31.201435,29.909773,,
471,,70.2,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,Item alio itinere ab Ptholomaida in Alexandria:,,,Ptholomaida,Ptolemais,Ptolemais/Barkes Limen,,,,,,,https://pleiades.stoa.org/places/373879,32.7071341858076,20.9538495945562,,
472,,70.2,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,Item alio itinere ab Ptholomaida in Alexandria:,,,Alexandria,Alexandria,Alexandria,,?,?,,,,https://pleiades.stoa.org/places/727070,31.201435,29.909773,,
473,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,,Ptolemais,Ptolemais/Barkes Limen,,,,0.0,,,https://pleiades.stoa.org/places/373879,32.7071341858076,20.9538495945562,,settlement
474,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Semeros,Semeros,Semeros,m. p.,XXXII,m. p. XXXII,32.0,,,https://pleiades.stoa.org/places/373886,32.533293,21.449973,,station
475,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Lasamices,Lasamices,Lasamices?,m. p.,XXVI,m. p. XXVI,26.0,,,https://pleiades.stoa.org/places/373838,32.590008,21.712327,,settlement
476,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Cyrene,Cyrene,Cyrene,m. p.,XXV,m. p. XXV,25.0,,,https://pleiades.stoa.org/places/373778,32.8200266273389,21.8565385134133,,settlement
477,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,fines Marmariae,fines,,fines Marmariae,fines Marmariae,Marmaridai,,,,0.0,,"This is a landmark, not a stop.",https://pleiades.stoa.org/places/716596,31.5,23.5,fines,people
478,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Limniade,Limniade,Limnias?,m. p.,XXI,m. p. XXI,21.0,,,https://pleiades.stoa.org/places/373844,32.779834,22.155779,,settlement
479,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Darnis,Darnis,Darnis,m. p.,XXIIII,m. p. XXIIII,24.0,,,https://pleiades.stoa.org/places/373780,32.7660775,22.6404775,,settlement
480,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Hippon,Hippon,Hippon,m. p.,XXVIII,m. p. XXVIII,28.0,,,https://pleiades.stoa.org/places/373828,32.599189,22.936949,,station
482,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Paniuros,Paliuris,Paliouros,m. p.,XXX,m. p. XXX,30.0,,,https://pleiades.stoa.org/places/373868,32.335828,23.061232,,settlement
483,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Micera,Mecira? Miceris?,Miceris,m. p.,XX,m. p. XX,20.0,,,https://pleiades.stoa.org/places/716601,32.128016,23.668112,,station
486,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Catabathmos,Katabathmos,Catabathmus Maior/Plynos Limen/Tetrapyrgia,m. p.,XXXV,m. p. XXXV,35.0,,,https://pleiades.stoa.org/places/716540,31.552706,25.152644,,settlement
492,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Parecomo,Praetonium,Paraetonium/Ammonia,m. p.,XXVI,m. p. XXVI,26.0,,,https://pleiades.stoa.org/places/716615,31.350136,27.2368445,,settlement
494,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Pedone,Pedonia,Pedonia,m. p.,XXVI,m. p. XXVI,26.0,,,https://pleiades.stoa.org/places/716617,31.062803,28.267024,,station
495,,,1. PROVINCIAE AFRICAE,Ptolemais-Alexandria?,alternative-route,,,,Caportis,Caportis,Caportis/‘Patrico’?,m. p.,XVI,m. p. XVI,16.0,,,https://pleiades.stoa.org/places/716539,31.027015,28.4357655,,station
496,,73.4-6,1. PROVINCIAE AFRICAE,Tacape-Leptis Magna,sum-route,Item iter quod limitem Tripolitanum per Turrem Tamalleni a Tacapas Lepti Magna ducit  m. p. DCV:,,,Tacapas,Tacape,Tacape,,,,,,,https://pleiades.stoa.org/places/344496,33.88643,10.109445,,
497,,73.4-6,1. PROVINCIAE AFRICAE,Tacape-Leptis Magna,sum-route,Item iter quod limitem Tripolitanum per Turrem Tamalleni a Tacapas Lepti Magna ducit  m. p. DCV:,,,Lepti Magna,Leptis Magna,Neapolis/Lepcis Magna,m. p.,DCV, m. p. DCV,,,,https://pleiades.stoa.org/places/344448,32.6379575,14.291378,,
521,,77.4,1. PROVINCIAE AFRICAE,Thelepte-Tacape,sum-route,Item a Thelepte Tacapas m. p. CLII:,,,Thelepte,Thelepte,Thelepte,,,,,,,https://pleiades.stoa.org/places/324828,34.978743,8.595226,,
522,,77.4,1. PROVINCIAE AFRICAE,Thelepte-Tacape,sum-route,Item a Thelepte Tacapas m. p. CLII:,,,Tacapas,Tacape,Tacape,m. p.,CLII, m. p. CLII,,,,https://pleiades.stoa.org/places/344496,33.88643,10.109445,,
