UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
4777bc30-533b-4707-a049-023b36af39ad,anabasis_book3_english.txt,Greeks,char-offset:50844,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
6025c542-7607-4adb-8458-3e2066221be1,anabasis_book3_english.txt,Greek,char-offset:50987,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
5defec6b-d0bb-4a15-a857-42a3775be4af,anabasis_book3_english.txt,Greeks,char-offset:51233,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
9276653e-3c64-4389-ac6e-56699db0219e,anabasis_book3_english.txt,Greeks,char-offset:51635,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
f28c8a6a-4afb-4cf6-86b3-5a51c2e6b700,anabasis_book3_english.txt,Cheirisophus,char-offset:51777,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
9bf6346b-4a94-4c19-a140-5343631a568f,anabasis_book3_english.txt,Xenophon,char-offset:51847,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
cc9c53db-5283-4070-b232-0acb0a43f78d,anabasis_book3_english.txt,Xenophon,char-offset:51942,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
de8e8f54-532c-403b-a623-6318f5aab11e,anabasis_book3_english.txt,Tissaphernes,char-offset:52008,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
6087e082-9d5f-408d-beb7-4cfd7f4bb167,anabasis_book3_english.txt,Cheirisophus,char-offset:52125,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
dd8aced4-a3e0-47cb-8298-da854719f8ae,anabasis_book3_english.txt,Xenophon,char-offset:52331,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
d120c470-6056-421c-88ac-c7d0e573353f,anabasis_book3_english.txt,Cheirisophus,char-offset:52481,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
09afb51a-a683-4cbb-bd50-5b53c7e32ea5,anabasis_book3_english.txt,Xenophon,char-offset:52587,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
9d870024-474f-46a8-88f6-e761b0c7e7c2,anabasis_book3_english.txt,Cheirisophus,char-offset:52785,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
8ae3a1b8-32bf-4988-a66c-7bdfb581bddc,anabasis_book3_english.txt,Cheirisophus,char-offset:53107,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
cb65f8dd-5b8a-4cd2-8adb-a5150d86d98d,anabasis_book3_english.txt,Xenophon,char-offset:53181,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
1437b76d-2ff4-4eec-ae28-08d788af8736,anabasis_book3_english.txt,Cheirisophus,char-offset:53260,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
32fec593-dcf7-4120-a4b4-35128fe09ce7,anabasis_book3_english.txt,Cheirisophus,char-offset:53394,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
f193bebd-3992-4c36-8f03-04b8de0dd649,anabasis_book3_english.txt,Xenophon,char-offset:53617,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
55684fed-2e22-410a-8e6c-13277a3a16d3,anabasis_book3_english.txt,Greeks,char-offset:53823,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
2ad027df-f8ea-40a7-b4d2-0313f9bc0b96,anabasis_book3_english.txt,Greek,char-offset:53893,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
282bd8db-3e63-4f61-a275-869313ad8d01,anabasis_book3_english.txt,Tissaphernes,char-offset:53967,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
6557152e-dfc4-4687-b9b1-b27bcfa56eae,anabasis_book3_english.txt,Xenophon,char-offset:54017,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
41e920e1-e8a3-447e-b297-d7699844a5bc,anabasis_book3_english.txt,Greece,char-offset:54155,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Ancient_Greece.|location|region,https://en.wikipedia.org/wiki/Ancient_Greece,location,,region,,,,,
69c998ee-725d-4b3f-8219-012b85207182,anabasis_book3_english.txt,Soteridas the Sicyonian,char-offset:54310,PERSON,,,,,,,,soteridas|person,soteridas,person,,,,,,,
225f5e2a-2d60-4de2-946b-b4f2b985443c,anabasis_book3_english.txt,the Sicyonian,char-offset:54320,PLACE,http://pleiades.stoa.org/places/570668,"Sicyon/Demetrias|Sicyon, Vasiliko",-0750/0300,37.98336,22.71135,settlement,VERIFIED,Sicyon|person|ethnic,https://en.wikipedia.org/wiki/Sicyon,person,ethnic,,referenced,,,,
627b67dc-d6a8-4c71-9085-7fa20c336d8d,anabasis_book3_english.txt,Xenophon,char-offset:54368,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
bdb2df61-d5b9-411b-8bc8-c68f97ed2333,anabasis_book3_english.txt,Xenophon,char-offset:54470,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
4a3279fe-cce6-4b3b-918c-e6a76f305880,anabasis_book3_english.txt,Soteridas,char-offset:54532,PERSON,,,,,,,,soteridas|person,soteridas,person,,,,,,,
99184d62-16ee-4f18-baf8-1998fb0b6166,anabasis_book3_english.txt,Soteridas,char-offset:54967,PERSON,,,,,,,,soteridas|person,soteridas,person,,,,,,,
f677bfc8-1907-4cfb-8810-3000ffa3f78a,anabasis_book3_english.txt,Xenophon,char-offset:55042,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenophon.|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
02fdb9a5-2ce9-4a85-a238-8a139473c381,anabasis_book3_english.txt,Greeks,char-offset:55364,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
a2c98203-4d75-4895-9581-4b936279ab8f,anabasis_book3_english.txt,Tissaphernes,char-offset:55426,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
20fe7968-e424-4c51-a9d6-60ecc239f76f,anabasis_book3_english.txt,Ariaeus,char-offset:55443,PERSON,,,,,,,,Ariaeus|person,https://en.wikipedia.org/wiki/Ariaeus,person,,,,,,,
c30493c0-7637-4475-a1e9-6fefb74ab64d,anabasis_book3_english.txt,Cheirisophus,char-offset:55518,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cheirisophus_(general).|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
91686bef-d8aa-49fe-9e44-921e47641718,anabasis_book3_english.txt,Tigris,char-offset:55726,PLACE,http://pleiades.stoa.org/places/912964,Tigris/Diglitus (river),-18000/2000,34.52908255,44.7946783,river,VERIFIED,https://en.wikipedia.org/wiki/Tigris.|location|river,https://en.wikipedia.org/wiki/Tigris,location,,river,,,,,
